移动互联网电视,#genre#
CCTV1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226995/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227018/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227014/index.m3u8
CCTV2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226795/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226655/40417429.smil#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV3,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228126/index.m3u8#http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227546/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225801/index.m3u8
CCTV4,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8
CCTV5,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227170/index.m3u8
CCTV5+,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226919/index.m3u8#http://39.135.230.72/ott.fj.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8
CCTV6,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227137/index.m3u8
CCTV7,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225927/index.m3u8
CCTV8,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227174/index.m3u8
CCTV9,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226923/index.m3u8
CCTV10,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226976/index.m3u8
CCTV11,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226927/index.m3u8
CCTV12,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225932/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226931/index.m3u8
CCTV13,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8
CCTV14,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225933/index.m3u8
CCTV15,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226989/index.m3u8
CCTV16,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227125/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227162/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227148/index.m3u8
CCTV17,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226986/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226990/index.m3u8
欢笑剧场4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227145/index.m3u8
纯享4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/index.m3u8
综艺4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226887/index.m3u8
百事通4K,http://39.135.230.79/ott.fj.chinamobile.com/PLTV/88888888/224/3221226952/index.m3u8
CCTV4K超高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226998/index.m3u8#http://112.50.242.133/PLTV/88888888/224/3221226998/index.m3u8?icpid=88888888&from=16&hms_devid=143,2117&online=1634553083
福建海峡,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227198/index.m3u8#rtsp://112.50.233.148/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
福建综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227149/index.m3u8#rtsp://112.50.233.148/PLTV/88888888/224/3221226826/47882539.smil
福建东南,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227156/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225835/index.m3u8#rtsp://112.50.233.148/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil
福建公共,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227153/index.m3u8#rtsp://112.50.233.148/PLTV/88888888/224/3221226113/10000100000000060000000002358064_0.smil
福建新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227180/index.m3u8#rtsp://112.50.233.148/PLTV/88888888/224/3221226116/10000100000000060000000002358068_0.smil
福建电视剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227079/index.m3u8#rtsp://112.50.233.148/PLTV/88888888/224/3221226115/10000100000000060000000002358067_0.smil
福建旅游,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227190/index.m3u8#rtsp://112.50.233.148/PLTV/88888888/224/3221226125/10000100000000060000000002358191_0.smil
福建经济,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227184/index.m3u8#rtsp://112.50.233.148/PLTV/88888888/224/3221226117/10000100000000060000000002358072_0.smil
福建体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227188/index.m3u8#rtsp://112.50.233.148/PLTV/88888888/224/3221226127/10000100000000060000000002434540_0.smil
福建少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227194/index.m3u8#rtsp://112.50.233.148/PLTV/88888888/224/3221226120/10000100000000060000000002358082_0.smil
龙岩综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227200/index.m3u8
福建三沙,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227172/index.m3u8
漳州卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227169/index.m3u8
三明卫视http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227161/index.m3u8
南平卫视1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227066/index.m3u8
福鼎卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226981/index.m3u8
福州综合,http://live.zohi.tv/video/s10001-FZTV-1/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227157/index.m3u8
